id,begin_time,end_time,projectorsid,week_daysid
1,10:00:00,17:00:00,1,1
2,10:00:00,17:00:00,1,2
3,10:00:00,17:00:00,2,3
4,10:00:00,17:00:00,2,1
5,10:00:00,17:00:00,3,2
6,10:00:00,17:00:00,1,3
7,10:00:00,17:00:00,5,1
8,10:00:00,17:00:00,1,4
9,10:00:00,17:00:00,2,4
10,11:00:00,18:00:00,6,1
11,12:00:00,20:00:00,5,2
12,12:00:00,20:00:00,5,3
13,10:00:00,17:30:00,6,6
14,10:00:00,17:30:00,6,7
15,12:00:00,15:00:00,6,2
16,12:00:00,21:00:00,8,7
17,11:00:00,18:00:00,7,1
18,11:00:00,18:00:00,7,2
19,11:00:00,18:00:00,7,5
22,12:00:00,20:00:00,7,3
